,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent
5485,1618577124.0,103.6621637415787,-0.59,106.0,,,-86.723161,36.1118457,,,0.0,0.0,0.0,0.0
5486,1618577124.1,103.63376535794244,-0.4334772336964917,106.0,,,-86.7231475,36.111821299999995,,,0.0,0.0,0.0,0.0
5487,1618577124.2,103.49202520352404,-0.7095570420753815,106.0,,,-86.7231342,36.1117972,,,0.0,0.0,0.0,0.0
5488,1618577124.3,103.37287183027635,-0.48665247393921596,106.0,,,-86.7231213,36.1117728,,,0.0,0.0,0.0,0.0
5489,1618577124.4,103.2918322910693,-0.39,106.08845887879438,,,-86.723108,36.111749200000006,,,0.0,0.0,0.0,0.0
5490,1618577124.5,103.1589366624629,-0.59,106.58853041466962,,,-86.7230945,36.1117257,,,0.0,0.0,0.0,0.0
5491,1618577124.6,103.07322992750649,-0.9423243726291217,107.0,,,-86.72308120000001,36.1117018,,,0.0,0.07808746186838787,0.0,0.0
5492,1618577124.7,102.88442031549737,-0.4035753549540117,107.0,,,-86.7230677,36.1116787,,,0.0,0.2095325426318788,0.0,0.0
5493,1618577124.8,102.77321861808282,-0.59,107.0,,,-86.7230535,36.111655799999994,,,0.0,0.34097731000632414,0.0,0.0
5494,1618577124.9,102.66522778145874,-0.9137320944991019,107.0,,,-86.7230403,36.111633000000005,,,0.0,0.47242239076981507,0.0,0.0
5495,1618577125.0,102.5311321223727,-0.5717385531582544,107.0,,,-86.7230283,36.1116093,,,0.0,0.6038671581442605,0.0,0.0
5496,1618577125.1,102.36013633340723,-0.39,107.0,,,-86.723015,36.111586200000005,,,0.0,0.7353119255187058,0.0,0.0
5497,1618577125.2,102.21110591486422,-0.8375130820235982,107.0,,,-86.7230007,36.1115638,,,0.0,0.8667570062821968,0.0,0.0
5498,1618577125.3,102.09239728998791,-0.7561579226285109,107.0,,,-86.7229873,36.11154129999999,,,0.0,0.9982017736566421,0.0,0.0
5499,1618577125.4,101.99364348641399,-0.5930486487493248,107.0,,,-86.72297420000001,36.111517799999994,,,0.0,1.0,0.0,0.0
5500,1618577125.5,101.78513002022538,-0.7526069610675471,107.0,,,-86.7229605,36.1114943,,,0.0,1.0,0.0,0.0
5501,1618577125.6,101.68451238901028,-0.7252250306104601,107.0,,,-86.72294670000001,36.111471,,,0.0,1.0,0.0,0.0
5502,1618577125.7,101.55394897123784,-0.5641649320950203,107.0,,,-86.7229332,36.1114475,,,0.0,1.0,0.0,0.0
5503,1618577125.8,101.38056167949925,-0.6736201997983686,107.0,,,-86.72291949999999,36.1114245,,,0.0,1.0,0.0,0.0
5504,1618577125.9,101.22131279504461,-0.8427942052733502,107.0,,,-86.72290600000001,36.1114015,,,0.0,1.0,0.0,0.0
5505,1618577126.0,101.12934194375744,-0.9119289927779921,107.08833693304535,,,-86.7228923,36.1113782,,,0.0,1.0,0.0,0.0
5506,1618577126.1,100.93465358365037,-0.39467069105324804,107.58883214204742,,,-86.7228787,36.11135529999999,,,0.0,1.0,0.0,0.0
5507,1618577126.2,100.74137094919651,-0.9382895465731904,120.83004226359583,,,-86.7228652,36.1113325,,,0.0,1.0,0.0,0.0
5508,1618577126.3,100.613763404612,-0.78,192.71495579044586,,,-86.72285169999999,36.1113095,,,0.0,1.0,0.0,0.0
5509,1618577126.4,100.41778167778169,-0.8617312907992444,252.0,,,-86.7228382,36.1112865,,,0.0,0.8093317279852729,0.0,0.0
5510,1618577126.5,100.26597622695826,-0.8696838235294118,252.0,,,-86.7228247,36.1112635,,,0.0,0.6168780874578206,0.0,0.0
5511,1618577126.6,100.11858034151605,-0.7148837080875111,252.0,,,-86.722811,36.1112407,,,0.0,0.4244244469303683,0.0,0.0
5512,1618577126.7,99.95037878038472,-0.7455214659685864,252.0,,,-86.7227975,36.1112178,,,0.0,0.23197034755724333,0.0,0.0
5513,1618577126.8,99.83415412062406,-0.7768258757727406,252.0,,,-86.72278399999999,36.111195,,,0.0,0.03951670702979104,0.0,0.0
5514,1618577126.9,99.704427403511,-0.59,252.0,,,-86.7227703,36.1111723,,,0.0,0.0,0.0,0.0
5515,1618577127.0,99.51595689751936,-0.7317345673911247,252.0,,,-86.7227567,36.111149499999996,,,0.0,0.0,0.0,0.0
5516,1618577127.1,99.332402806941,-0.6632951111281129,252.0,,,-86.72274300000001,36.1111268,,,0.0,0.0,0.0,0.0
5517,1618577127.2,99.23563449492404,-0.697478608311934,252.0,,,-86.7227295,36.111104299999994,,,0.0,0.0,0.0,0.0
5518,1618577127.3,99.09933053468846,-0.78,252.0,,,-86.722716,36.11108170000001,,,0.0,0.0,0.0,0.0
5519,1618577127.4,98.9696083913528,-0.8122519414862066,252.0,,,-86.7227025,36.1110592,,,0.0,0.0,0.0,0.0
5520,1618577127.5,98.8443752285192,-0.758955219724115,252.0,,,-86.72268879999999,36.1110365,,,0.0,0.0,0.0,0.0
5521,1618577127.6,98.63438877085123,-0.6468447860629492,252.0,,,-86.7226752,36.111014000000004,,,0.0,0.0,0.0,0.0
5522,1618577127.7,98.49922134193876,-0.59,252.0,,,-86.7226617,36.1109915,,,0.0,0.0,0.0,0.0
5523,1618577127.8,98.39726727200215,-0.8242848862883638,252.0,,,-86.72264820000001,36.110969,,,0.0,0.0,0.0,0.0
5524,1618577127.9,98.26,-0.9039653423719409,252.0,,,-86.7226345,36.110946500000004,,,0.0,0.0,0.0,0.0
5525,1618577128.0,98.1363559160565,-0.39,252.0,,,-86.72262099999999,36.110924,,,0.0,0.0,0.0,0.0
5526,1618577128.1,97.96013762431045,-0.2544090120674143,252.0,,,-86.72260729999999,36.110901500000004,,,0.0,0.0,0.0,0.0
5527,1618577128.2,97.81813744440483,-0.98,252.0,,,-86.722594,36.11087929999999,,,0.0,0.0,0.0,0.0
5528,1618577128.3,97.69214350283518,-0.9585166145823703,252.0,,,-86.72258029999999,36.110857,,,0.0,0.0,0.0,0.0
5529,1618577128.4,97.50361176140935,-0.693536735101796,239.6529532621039,,,-86.722567,36.1108348,,,0.0,0.0,0.0,0.0
5530,1618577128.5,97.36417083969037,-0.59,167.38096189675042,,,-86.7225535,36.110812700000004,,,0.0,0.0,0.0,0.0
5531,1618577128.6,97.22185047104728,-0.7775394444444444,108.0,,,-86.7225402,36.1107905,,,0.0,0.0,0.0,0.0
5532,1618577128.7,97.05233935817041,-0.9145219638242894,108.0,,,-86.7225267,36.1107687,,,0.0,0.0,0.0,0.0
5533,1618577128.8,96.92994687636683,-0.910756798287737,108.0,,,-86.72251329999999,36.110746500000005,,,0.0,0.0,0.0,0.0
5534,1618577128.9,96.76992851840652,-0.40145419602818705,108.0,,,-86.72249980000001,36.110724299999994,,,0.0,0.0,0.0,0.0
5535,1618577129.0,96.65615782997557,-0.59,108.0,,,-86.7224863,36.1107025,,,0.0,0.0,0.0,0.0
5536,1618577129.1,96.4539568293967,-0.881367110182538,108.0,,,-86.7224728,36.1106805,,,0.0,0.0,0.0,0.0
5537,1618577129.2,96.29439954306604,-0.660337331404303,108.0,,,-86.7224593,36.1106585,,,0.0,0.0,0.0,0.0
5538,1618577129.3,96.19794308381222,-0.7944855071143581,108.0,,,-86.7224458,36.1106365,,,0.0,0.0,0.0,0.0
5539,1618577129.4,96.04829660414502,-0.6577444784913483,108.0,,,-86.7224322,36.110614700000006,,,0.0,0.0,0.0,0.0
5540,1618577129.5,95.91012503480674,-0.4666040710605591,108.0,,,-86.7224185,36.1105928,,,0.0,0.0,0.0,0.0
5541,1618577129.6,95.71748916027994,-0.7705320137893636,108.0,,,-86.72240479999999,36.110571,,,0.0,0.0,0.0,0.0
5542,1618577129.7,95.60455073286053,-0.59,108.0,,,-86.7223913,36.110549299999995,,,0.0,0.0,0.0,0.0
5543,1618577129.8,95.49510179618288,-0.6743298632817809,108.0,,,-86.7223777,36.1105277,,,0.0,0.0,0.0,0.0
5544,1618577129.9,95.32544070679391,-0.59,108.0,,,-86.722364,36.110506,,,0.0,0.0,0.0,0.0
5545,1618577130.0,95.17676461260051,-0.7914436609904963,108.0,,,-86.7223503,36.110484299999996,,,0.0,0.0,0.0,0.0
5546,1618577130.1,95.0440707082822,-0.7041275945188006,108.0,,,-86.72233680000001,36.110463,,,0.0,0.0,0.0,0.0
5547,1618577130.2,94.96577922019544,-0.8821066066478193,108.0,,,-86.7223232,36.1104415,,,0.0,0.0,0.0,0.0
5548,1618577130.3,94.81201656356943,-0.39,108.0,,,-86.7223098,36.11042,,,0.0,0.0,0.0,0.0
5549,1618577130.4,94.69914756640759,-0.78,108.0,,,-86.7222962,36.110398499999995,,,0.0,0.0,0.0,0.0
5550,1618577130.5,94.61396560674886,-0.7129228229236624,108.0,,,-86.7222823,36.110377,,,0.0,0.0,0.0,0.0
5551,1618577130.6,94.52034675183378,-0.59,108.08827783923962,,,-86.7222687,36.110355799999994,,,0.0,0.0,0.0,0.0
5552,1618577130.7,94.4276206662766,-0.4824755952493344,108.58722624698143,,,-86.722255,36.1103347,,,0.0,0.0,0.0,0.0
5553,1618577130.8,94.4079627010867,-0.23211465316732796,109.0,,,-86.7222413,36.11031320000001,,,0.0,0.0,0.0,0.0
5554,1618577130.9,94.38,-0.05400607104023197,109.0,,,-86.7222278,36.1102922,,,0.0,0.0,0.0,0.0
5555,1618577131.0,94.37574363061653,-0.023952835779272843,108.91436683377555,,,-86.7222142,36.11027120000001,,,0.0,0.0,0.0,0.0
5556,1618577131.1,94.3520476852999,-0.18153232509395778,108.41443477390241,,,-86.7222007,36.11025,,,0.0,0.0,0.0,0.0
5557,1618577131.2,94.37670407393436,-0.02641707312371075,108.0,,,-86.722187,36.110228799999994,,,0.0,0.0,0.0,0.0
5558,1618577131.3,94.34,0.0,108.0,,,-86.7221733,36.110207700000004,,,0.0,0.0,0.0,0.0
5559,1618577131.4,94.34,0.0,108.0,,,-86.7221598,36.1101865,,,0.0,0.0,0.0,0.0
5560,1618577131.5,94.33193476046758,0.02918494148520487,108.0,,,-86.72214620000001,36.1101653,,,0.0,0.0,0.0,0.0
5561,1618577131.6,94.29777435017034,0.0,108.0,,,-86.7221323,36.1101442,,,0.0,0.0,0.0,0.0
5562,1618577131.7,94.28879032258065,-0.1562461098418752,108.0,,,-86.72211899999999,36.110123200000004,,,0.0,0.0,0.0,0.0
5563,1618577131.8,94.26278824514088,-0.006917492405612624,108.0,,,-86.722105,36.110102000000005,,,0.0,0.0,0.0,0.0
5564,1618577131.9,94.24730080113841,0.0,108.0,,,-86.72209129999999,36.110081,,,0.0,0.0,0.0,0.0
5565,1618577132.0,94.31224655167557,-0.1419008714103064,108.0,,,-86.7220775,36.1100598,,,0.0,0.0,0.0,0.0
5566,1618577132.1,94.34772848507222,0.0,108.0,,,-86.72206379999999,36.110038700000004,,,0.0,0.0,0.0,0.0
5567,1618577132.2,94.33580060534476,0.1709711324537872,108.0,,,-86.72205,36.1100175,,,0.0,0.0,0.0,0.0
5568,1618577132.3,94.4450528902178,0.25345331514224756,108.0,,,-86.7220363,36.1099965,,,0.0,0.0,0.0,0.0
5569,1618577132.4,94.4698204641389,0.35082222321309137,107.91251573736719,,,-86.7220225,36.109975299999995,,,0.0,0.0,0.0,0.0
5570,1618577132.5,94.48367869307545,0.0,107.412460895027,,,-86.7220085,36.10995429999999,,,0.0,0.0,0.0,0.0
5571,1618577132.6,94.50879114741188,0.022163308589607633,107.0,,,-86.72199470000001,36.10993320000001,,,0.0,0.0,0.0,0.0
5572,1618577132.7,94.54399308884989,0.0,107.0,,,-86.7219808,36.109912,,,0.0,0.0,0.0,0.0
5573,1618577132.8,94.57699639258162,0.0,107.0,,,-86.72196679999999,36.1098908,,,0.0,0.0,0.0,0.0
5574,1618577132.9,94.60280494323794,0.10620133194400398,107.0,,,-86.721953,36.109869700000004,,,0.0,0.0,0.0,0.0
5575,1618577133.0,94.59865229414753,0.32421210951179436,119.67559843395132,,,-86.72193879999999,36.109848299999996,,,0.0,0.0,0.0,0.0
5576,1618577133.1,94.6299996292692,-0.03957124418266434,191.91689869147513,,,-86.721925,36.109827,,,0.0,0.0,0.0,0.0
5577,1618577133.2,94.6674292519909,0.0,252.0,,,-86.72191099999999,36.1098055,,,0.0,0.0,0.0,0.0
5578,1618577133.3,94.67162586680742,0.0,252.0,,,-86.7218968,36.109784000000005,,,0.0,0.0,0.0,0.0
5579,1618577133.4,94.72586733293065,0.14479543274204773,252.0,,,-86.72188270000001,36.109763,,,0.0,0.0,0.0,0.0
5580,1618577133.5,94.73760582023178,0.19,252.0,,,-86.721869,36.109742,,,0.0,0.0,0.0,0.0
5581,1618577133.6,94.72312594079277,0.0,252.0,,,-86.72185479999999,36.1097217,,,0.0,0.0,0.0,0.0
5582,1618577133.7,94.69415450077031,0.0,252.0,,,-86.7218403,36.1097015,,,0.0,0.0,0.0,0.0
5583,1618577133.8,94.70832786707015,0.0,252.0,,,-86.7218257,36.1096815,,,0.0,0.0,0.0,0.0
5584,1618577133.9,94.71000000000001,0.0,252.0,,,-86.7218103,36.109661200000005,,,0.0,0.0,0.0,0.0
