,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent
17076,1619043319.9,24.936861146834104,0.78,14.0,,,-86.723166,36.1118818,,,0.0,0.0,0.0,1.0
17077,1619043320.0,25.164319411099797,0.78,14.0,,,-86.723163,36.1118765,,,0.0,0.0,0.0,1.0
17078,1619043320.1,25.28518780661349,0.78,14.0,,,-86.72316020000001,36.1118712,,,0.0,0.0,0.0,1.0
17079,1619043320.2,25.426884333346067,0.78,13.8928807710614,,,-86.723157,36.111866,,,0.0,0.0,0.0,1.0
17080,1619043320.3,25.637847714989523,0.98,13.393797001427892,,,-86.7231542,36.111861,,,0.0,0.0,0.0,1.0
17081,1619043320.4,25.749036581733503,0.58,13.0,,,-86.723151,36.111855799999994,,,0.0,0.0,0.0,1.0
17082,1619043320.5,25.895894397040287,0.78,13.0,,,-86.723148,36.1118513,,,0.0,0.0,0.0,1.0
17083,1619043320.6,26.05497954177407,0.78,13.0,,,-86.723145,36.1118457,,,0.0,0.0,0.0,1.0
17084,1619043320.7,26.139946840742578,0.39,13.0,,,-86.7231413,36.1118408,,,0.0,0.0,0.0,1.0
17085,1619043320.8,26.17880181371623,0.38133597948097797,13.0,,,-86.72313829999999,36.1118365,,,0.0,0.0,0.0,1.0
17086,1619043320.9,26.232181858131614,0.19,13.0,,,-86.7231353,36.1118318,,,0.0,0.0,0.0,1.0
17087,1619043321.0,26.24384176674313,0.01924674846744595,13.0,,,-86.7231315,36.1118277,,,0.0,0.0,0.0,1.0
17088,1619043321.1,26.265357523016302,0.0,13.0,,,-86.7231278,36.1118233,,,0.0,0.0,0.0,1.0
17089,1619043321.2,26.274737713918796,0.0,13.0,,,-86.7231238,36.1118185,,,0.0,0.0,0.0,1.0
17090,1619043321.3,26.23370214796243,0.0,13.0,,,-86.7231205,36.111814,,,0.0,0.0,0.0,1.0
17091,1619043321.4,26.182131535281123,-0.08445684598933426,13.0,,,-86.7231175,36.1118098,,,0.0,0.0,0.0,1.0
17092,1619043321.5,26.155872877298712,-0.19,13.0,,,-86.72311529999999,36.111806,,,0.0,0.0,0.0,1.0
17093,1619043321.6,26.038666503614326,-0.23086859999813444,12.893166260807266,,,-86.723113,36.111801799999995,,,0.0,0.0,0.0,1.0
17094,1619043321.7,25.903859829401817,-0.59,12.395660131401181,,,-86.7231112,36.1117992,,,0.0,0.0,0.0,1.0
17095,1619043321.8,25.772326730412708,-0.59,12.0,,,-86.723108,36.1117943,,,0.0,0.0,0.0,1.0
17096,1619043321.9,25.603971183890753,-0.78,12.0,,,-86.7231057,36.1117902,,,0.0,0.0,0.0,1.0
17097,1619043322.0,25.43733679037189,-0.9444450817321479,12.0,,,-86.72310329999999,36.111785,,,0.0,0.0,0.0,1.0
17098,1619043322.1,25.29300663533315,-0.78,12.0,,,-86.7231008,36.111780200000005,,,0.0,0.0,0.0,1.0
17099,1619043322.2,25.11775714773892,-0.78,12.0,,,-86.72309720000001,36.111774700000005,,,0.0,0.0,0.0,1.0
17100,1619043322.3,24.9203411688954,-0.98,12.0,,,-86.72309279999999,36.1117695,,,0.0,0.0,0.0,1.0
17101,1619043322.4,24.798516177796397,-0.78,12.0,,,-86.7230887,36.111764799999996,,,0.0,0.0,0.0,1.0
17102,1619043322.5,24.571105084621113,-0.8391232650301448,12.0,,,-86.7230845,36.1117598,,,0.0,0.0,0.0,1.0
17103,1619043322.6,24.420200032033602,-0.98,12.0,,,-86.7230802,36.111754,,,0.0,0.0,0.0,0.8316388899735856
17104,1619043322.7,24.24230052522106,-0.78,12.0,,,-86.7230753,36.1117482,,,0.0,0.0,0.0,0.5540389656890938
17105,1619043322.8,24.103152503350092,-0.78,12.0,,,-86.72307099999999,36.111742299999996,,,0.0,0.0,0.0,0.27643970325345046
17106,1619043322.9,23.90481479788236,-0.98,12.0,,,-86.7230665,36.111738200000005,,,0.0,0.0,0.0,0.0
17107,1619043323.0,23.740308468872687,-0.78,12.0,,,-86.7230625,36.1117333,,,0.0,0.0,0.0,0.0
17108,1619043323.1,23.654224444963777,-0.59,12.0,,,-86.7230585,36.111728799999995,,,0.0,0.0,0.0,0.0
17109,1619043323.2,23.538232634607482,-0.59,12.0,,,-86.723054,36.1117243,,,0.0,0.0,0.0,0.0
17110,1619043323.3,23.51181326339728,-0.19,12.0,,,-86.7230497,36.1117195,,,0.0,0.0,0.0,0.0
17111,1619043323.4,23.495922507100637,0.0,12.0,,,-86.7230452,36.1117153,,,0.0,0.0,0.0,0.0
17112,1619043323.5,23.516623963828184,0.0,12.0,,,-86.72304,36.1117115,,,0.0,0.0,0.0,0.0
17113,1619043323.6,23.51,0.0,12.0,,,-86.72303520000001,36.1117075,,,0.0,0.0,0.0,0.0
17114,1619043323.7,23.58167780061665,0.19,12.0,,,-86.72302950000001,36.1117042,,,0.0,0.0,0.0,0.0
17115,1619043323.8,23.601787281401947,0.19,12.0,,,-86.7230233,36.1117015,,,0.0,0.0,0.0,0.0
17116,1619043323.9,23.61605950807398,0.0,12.0,,,-86.7230218,36.1116958,,,0.0,0.0,0.0,0.0
17117,1619043324.0,23.63,0.0,12.0,,,-86.7230208,36.1116902,,,0.0,0.0,0.0,0.0
17118,1619043324.1,23.68452546056717,0.1328509978346111,12.0,,,-86.72301929999999,36.1116848,,,0.0,0.0,0.0,0.0
17119,1619043324.2,23.704418175451217,0.0,12.0,,,-86.72301850000001,36.11167879999999,,,0.0,0.0,0.0,0.0
17120,1619043324.3,23.75,0.0,12.0,,,-86.7230152,36.111672799999994,,,0.0,0.0,0.0,0.0
17121,1619043324.4,23.783681167222003,0.07032273994887288,12.104981025007822,,,-86.723013,36.111666799999995,,,0.0,0.0,0.0,0.0
17122,1619043324.5,23.79,0.0,12.60584200482913,,,-86.7230108,36.1116612,,,0.0,0.0,0.0,0.0
17123,1619043324.6,23.81031006086645,0.0,13.0,,,-86.72300870000001,36.1116557,,,0.0,0.0,0.0,0.0
17124,1619043324.7,23.85,0.18013556744526765,13.0,,,-86.7230072,36.1116508,,,0.0,0.0,0.0,0.0
17125,1619043324.8,23.894500800999214,0.19,13.0,,,-86.7230045,36.1116455,,,0.0,0.0,0.0,0.0
17126,1619043324.9,23.953272155459434,0.0,13.0,,,-86.7230017,36.11164,,,0.0,0.0,0.0,0.0
17127,1619043325.0,24.0663545279738,0.19,13.0,,,-86.7229985,36.1116343,,,0.0,0.0,0.0,0.0
17128,1619043325.1,24.24804134810138,0.58,13.0,,,-86.72299579999999,36.111628499999995,,,0.0,0.0,0.0,0.0
17129,1619043325.2,24.42864649743055,0.58,13.106571137251356,,,-86.7229928,36.111623200000004,,,0.0,0.0,0.0,0.0
