,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent
12861,1619560857.2,35.1843000551572,0.0,23.0,,,-86.72316529999999,36.111901700000004,,,0.0,0.0,0.0,1.0
12862,1619560857.3,35.11104173519157,-0.24226086703011573,23.0,,,-86.72316070000001,36.1118938,,,0.0,0.0,0.0,1.0
12863,1619560857.4,35.1097986910321,-0.19,23.0,,,-86.7231563,36.111886,,,0.0,0.0,0.0,1.0
12864,1619560857.5,35.08430216968484,-0.19,23.0,,,-86.7231518,36.1118783,,,0.0,0.0,0.0,1.0
12865,1619560857.6,34.78919572391355,-0.39,23.0,,,-86.7231473,36.1118705,,,0.0,0.0,0.0,1.0
12866,1619560857.7,34.72623079527465,-0.8136393609851176,23.0,,,-86.7231427,36.1118627,,,0.0,0.0,0.0,1.0
12867,1619560857.8,34.50960603577769,-0.78,23.0,,,-86.7231382,36.111854799999996,,,0.0,0.0,0.0,0.8290012011067243
12868,1619560857.9,34.4317905395929,-0.78,22.564802590816804,,,-86.7231342,36.1118472,,,0.0,0.0,0.0,0.6366448076555304
12869,1619560858.0,34.20988529235989,-0.78,22.065048041636086,,,-86.7231295,36.1118393,,,0.0,0.0,0.0,0.44428887281706075
12870,1619560858.1,33.98718923465097,-0.98,22.0,,,-86.723125,36.111832,,,0.0,0.0,0.0,0.25193293797859095
12871,1619560858.2,33.79647640597058,-0.98,22.0,,,-86.7231208,36.1118245,,,0.0,0.0,0.0,0.059576544527397246
12872,1619560858.3,33.61956724813493,-0.98,22.0,,,-86.7231155,36.111817200000004,,,0.0,0.0,0.0,0.0
12873,1619560858.4,33.47472430394043,-0.78,22.0,,,-86.7231103,36.1118092,,,0.0,0.0,0.0,0.0
12874,1619560858.5,33.245429128496,-0.98,22.0,,,-86.7231053,36.111801299999996,,,0.0,0.0,0.0,0.0
