,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent
14969,1617832111.1,36.96009471220654,-0.08383165771683149,21.0,,,-86.72316500000001,36.111837799999996,,,0.0,0.0,0.0,0.0
14970,1617832111.2,36.84024674440933,-0.19,21.0,,,-86.723161,36.11183,,,0.0,0.0,0.0,0.0
14971,1617832111.3,36.867546321665074,0.0,21.0,,,-86.7231563,36.1118222,,,0.0,0.0,0.0,0.0
14972,1617832111.4,36.808476857455766,-0.19,21.0,,,-86.723152,36.111814200000005,,,0.0,0.0,0.0,0.0
14973,1617832111.5,36.75227975821307,-0.19,21.0,,,-86.7231475,36.1118065,,,0.0,0.0,0.0,0.0
14974,1617832111.6,36.71040060776757,-0.38710321834264005,21.0,,,-86.72314279999999,36.111799,,,0.0,0.0,0.0,0.0
14975,1617832111.7,36.67708320775912,-0.017449218712939862,21.0,,,-86.7231382,36.1117908,,,0.0,0.0,0.0,0.0
14976,1617832111.8,36.633501278186884,-0.3501556155691111,21.0,,,-86.7231335,36.111782700000006,,,0.0,0.0,0.0,0.0
14977,1617832111.9,36.525233226304934,-0.39,20.964483422408744,,,-86.7231293,36.1117748,,,0.0,0.0,0.0,0.0
14978,1617832112.0,36.508493296347666,0.0,20.46299484677834,,,-86.7231252,36.1117668,,,0.0,0.0,0.0,0.0
14979,1617832112.1,36.49865984021605,0.0,20.0,,,-86.72312099999999,36.1117595,,,0.0,0.0,0.0,0.0
14980,1617832112.2,36.40852932675807,-0.19,20.0,,,-86.7231165,36.111751299999995,,,0.0,0.0,0.0,0.0
14981,1617832112.3,36.30033221485816,-0.39,20.0,,,-86.7231118,36.111743,,,0.0,0.0,0.0,0.0
14982,1617832112.4,36.27736084182165,0.0,20.0,,,-86.7231073,36.1117345,,,0.0,0.0,0.0,0.0
14983,1617832112.5,36.32,-0.190715848818664,20.0,,,-86.7231025,36.111725,,,0.0,0.0,0.0,0.0
14984,1617832112.6,36.19429002087761,-0.19,20.0,,,-86.7230973,36.1117152,,,0.0,0.0,0.0,0.0
14985,1617832112.7,36.06760805487195,-0.39,20.0,,,-86.7230908,36.111702799999996,,,0.0,0.0,0.0,0.0
14986,1617832112.8,36.05608204405669,0.0,20.0,,,-86.7230858,36.1116925,,,0.0,0.0,0.0,0.0
14987,1617832112.9,36.057190186525744,-0.19,20.0,,,-86.72308220000001,36.111683,,,0.0,0.0,0.0,0.0
14988,1617832113.0,35.94271077620315,-0.2660256874440231,20.0,,,-86.7230772,36.1116743,,,0.0,0.0,0.0,0.0
14989,1617832113.1,35.869156665523676,-0.24991187005872276,20.0,,,-86.72307370000001,36.1116658,,,0.0,0.0,0.0,0.0
14990,1617832113.2,35.81975531294427,-0.39,20.0,,,-86.723069,36.1116575,,,0.0,0.0,0.0,0.0
