Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-213.100,29.952,30.220,29.505,31.293,31.382,30.667,30.220,31.293,30.846,31.378,31.288,31.472,31.199,31.020,30.846,31.025,30.756,29.321,29.058,28.785,29.500
86.900,30.126,30.130,29.773,30.841,31.203,30.578,27.779,29.746,29.934,29.768,30.184,30.367,29.737,30.023,30.095,30.095,29.759,29.134,28.423,28.427,29.138
386.900,30.846,30.305,30.300,31.110,31.288,30.752,26.684,29.326,29.143,27.171,28.789,29.232,28.503,29.321,29.590,29.590,29.058,28.874,29.058,28.700,28.338
686.900,30.841,30.564,31.203,31.740,31.740,31.557,31.203,30.578,30.305,29.786,29.746,29.947,29.683,30.130,30.305,29.773,27.949,28.870,29.053,28.691,29.129
