index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS
0,1619472911.1,40.34738694418165,0.4170462880818021,23.0,,,-86.72316629999999,36.1117872,,,0.0,0.0,0.0,0.0,0.0
1,1619472911.2,40.52478540674029,0.39,23.341692153544656,,,-86.7231612,36.1117775,,,0.0,0.0,0.0,0.0,1.1718567082539413
2,1619472911.3,40.68794826463199,0.78,23.842588423842106,,,-86.7231563,36.1117683,,,0.0,0.0,0.0,0.0,2.285529131543763
3,1619472911.4,40.803534577794245,0.58,24.0,,,-86.7231517,36.1117592,,,0.0,0.0,0.0,0.0,3.3785255978126107
4,1619472911.5,41.02080386319077,0.98,24.0,,,-86.72314770000001,36.11175,,,0.0,0.0,0.0,0.0,4.462789812502288
5,1619472911.6,41.20311639597834,0.78,24.339552479264874,,,-86.72314279999999,36.111741,,,0.0,0.0,0.0,0.0,5.556069423377307
6,1619472911.7,41.501234922299815,0.98,24.840096664478786,,,-86.7231378,36.111732,,,0.0,0.0,0.0,0.0,6.65299661032597
7,1619472911.8,41.62443368782488,1.041576824952679,25.0,,,-86.7231335,36.1117228,,,0.0,0.0,0.0,0.0,7.7464874820967555
8,1619472911.9,41.89100419164376,1.37,25.0,,,-86.7231288,36.1117135,,,0.0,0.0,0.0,0.0,8.863468624977273
9,1619472912.0,42.11584151316363,1.17,25.342717035095035,,,-86.7231237,36.11170429999999,,,0.0,0.0,0.0,0.0,9.984363711355861
10,1619472912.1,42.35320328696898,1.17,25.84254424119645,,,-86.7231182,36.1116948,,,0.0,0.0,0.0,0.0,11.150547559146164
11,1619472912.2,42.57911874740197,1.3413104603729604,26.0,,,-86.7231117,36.1116857,,,0.0,0.0,0.0,0.0,12.318806804569677
12,1619472912.3,42.81478301704373,1.37,26.0,,,-86.7231063,36.1116763,,,0.0,0.0,0.0,0.0,13.471117726107488
13,1619472912.4,43.023336874857705,0.8548491947831541,26.0,,,-86.7231012,36.1116672,,,0.0,0.0,0.0,0.0,14.581873910387959
14,1619472912.5,43.21391483567039,0.98,26.0,,,-86.723096,36.11165820000001,,,0.0,0.0,0.0,0.0,15.686279473490593
15,1619472912.6,43.39266866810746,1.17,26.33922364228339,,,-86.7230898,36.1116487,,,0.0,0.0,0.0,0.0,16.880463388412263
16,1619472912.7,43.65191316259568,1.1190579967147016,26.841101656888707,,,-86.723084,36.111639200000006,,,0.0,0.0,0.0,0.0,18.058317845937086
17,1619472912.8,43.82,0.98,27.0,,,-86.7230793,36.11163,,,0.0,0.0,0.0,0.0,19.165012599468707
18,1619472912.9,44.03366978103588,0.98,27.0,,,-86.72307430000001,36.1116208,,,0.0,0.0,0.0,0.0,20.28226633939645
19,1619472913.0,44.21004555040068,1.17,27.0,,,-86.7230688,36.1116115,,,0.0,0.0,0.0,0.0,21.42834464197865
20,1619472913.1,44.396895249956216,0.98,27.0,,,-86.72306329999999,36.11160220000001,,,0.0,0.0,0.0,0.0,22.57442296923161
21,1619472913.2,44.53101062816655,0.78,27.0,,,-86.72305779999999,36.1115927,,,0.0,0.0,0.0,0.0,23.740607090569213
22,1619472913.3,44.53774432161909,0.5044380955874934,27.0,,,-86.72305229999999,36.11158270000001,,,0.0,0.0,0.0,0.0,24.957380488799362
23,1619472913.4,44.59546608722931,0.2980240623897794,27.0,,,-86.7230465,36.1115732,,,0.0,0.0,0.0,0.0,26.135235140709757
24,1619472913.5,44.56,0.0,27.0,,,-86.72304100000001,36.111563,,,0.0,0.0,0.0,0.0,27.372364658946765
25,1619472913.6,44.59542074612131,0.0,27.0,,,-86.72303520000001,36.1115532,,,0.0,0.0,0.0,0.0,28.580226853278013
26,1619472913.7,44.55944776064746,0.0,27.0,,,-86.72302950000001,36.1115433,,,0.0,0.0,0.0,0.0,29.79431447797751
27,1619472913.8,44.54907712147632,0.0,27.0,,,-86.7230238,36.1115332,,,0.0,0.0,0.0,0.0,31.028602157026903
28,1619472913.9,44.48723642692927,0.0,27.0,,,-86.7230182,36.111523,,,0.0,0.0,0.0,0.0,32.2693466905907
29,1619472914.0,44.41419728891066,-0.19,27.0,,,-86.7230125,36.1115128,,,0.0,0.0,0.0,0.0,33.51376051316243
30,1619472914.1,44.32141543397224,-0.39,27.0,,,-86.7230067,36.1115028,,,0.0,0.0,0.0,0.0,34.74172391037391
31,1619472914.2,44.148443525385055,-0.39,27.0,,,-86.7230008,36.1114925,,,0.0,0.0,0.0,0.0,36.003720076367905
32,1619472914.3,44.0693353002922,-0.59,27.0,,,-86.722995,36.1114823,,,0.0,0.0,0.0,0.0,37.25185711373203
33,1619472914.4,43.93383598789482,-0.4526787941025453,27.0,,,-86.7229892,36.1114722,,,0.0,0.0,0.0,0.0,38.489898543225785
34,1619472914.5,43.80966862188932,-0.59,27.0,,,-86.7229833,36.1114618,,,0.0,0.0,0.0,0.0,39.76199471402923
35,1619472914.6,43.649,-0.6063288816393108,26.660572490022005,,,-86.7229773,36.1114515,,,0.0,0.0,0.0,0.0,41.027789921962714
36,1619472914.7,43.45235488056904,-1.17,26.15921519595597,,,-86.7229712,36.1114415,,,0.0,0.0,0.0,0.0,42.26742826192549
37,1619472914.8,43.19325791979491,-0.98,26.0,,,-86.7229653,36.111431,,,0.0,0.0,0.0,0.0,43.549641308837884
38,1619472914.9,43.034597401170295,-1.17,26.0,,,-86.7229593,36.1114208,,,0.0,0.0,0.0,0.0,44.805384474616254
39,1619472915.0,42.87543038897356,-0.98,26.0,,,-86.7229532,36.1114105,,,0.0,0.0,0.0,0.0,46.075030924313026
40,1619472915.1,42.65576646513792,-0.98,26.0,,,-86.72294720000001,36.1114005,,,0.0,0.0,0.0,0.0,47.31072474870362
41,1619472915.2,42.48840468098327,-0.98,26.0,,,-86.72294120000001,36.1113903,,,0.0,0.0,0.0,0.0,48.566468004322104
42,1619472915.3,42.32355190848256,-0.78,26.0,,,-86.72293499999999,36.1113802,,,0.0,0.0,0.0,0.0,49.82005551488446
