index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS
0,1619560857.2,35.1843000551572,0.0,23.0,,,-86.72316529999999,36.1119017,,,0.0,0.0,0.0,1.0,0.0
1,1619560857.3,35.11104173519157,-0.2422608670301157,23.0,,,-86.72316070000001,36.1118938,,,0.0,0.0,0.0,1.0,0.9707773857493475
2,1619560857.4,35.1097986910321,-0.19,23.0,,,-86.7231563,36.111886,,,0.0,0.0,0.0,1.0,1.92391513833772
3,1619560857.5,35.08430216968484,-0.19,23.0,,,-86.7231518,36.1118783,,,0.0,0.0,0.0,1.0,2.8707460841955266
4,1619560857.6,34.78919572391355,-0.39,23.0,,,-86.7231473,36.1118705,,,0.0,0.0,0.0,1.0,3.8276439657148424
5,1619560857.7,34.72623079527465,-0.8136393609851176,23.0,,,-86.7231427,36.1118627,,,0.0,0.0,0.0,1.0,4.788371242091296
6,1619560857.8,34.50960603577769,-0.78,23.0,,,-86.7231382,36.1118548,,,0.0,0.0,0.0,0.8290012011067243,5.755359137771675
7,1619560857.9,34.4317905395929,-0.78,22.564802590816804,,,-86.7231342,36.1118472,,,0.0,0.0,0.0,0.6366448076555304,6.673659672429054
8,1619560858.0,34.20988529235989,-0.78,22.06504804163609,,,-86.7231295,36.1118393,,,0.0,0.0,0.0,0.4442888728170607,7.648294824252165
9,1619560858.1,33.98718923465097,-0.98,22.0,,,-86.723125,36.111832,,,0.0,0.0,0.0,0.2519329379785909,8.555104155769332
10,1619560858.2,33.79647640597058,-0.98,22.0,,,-86.7231208,36.1118245,,,0.0,0.0,0.0,0.0595765445273972,9.470440132038133
11,1619560858.3,33.61956724813493,-0.98,22.0,,,-86.7231155,36.1118172,,,0.0,0.0,0.0,0.0,10.411486759455828
12,1619560858.4,33.47472430394043,-0.78,22.0,,,-86.7231103,36.1118092,,,0.0,0.0,0.0,0.0,11.41623424671936
