index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS
39,1617400291.0,52.06691823172493,0.39,39.47940189670425,,,-86.7228995,36.11138270000001,,,0.0,0.0,0.0,0.0,56.06902383762506
40,1617400291.1,52.179230856904056,0.78,39.9794865497104,,,-86.7228925,36.1113708,,,0.0,0.0,0.0,0.0,57.53405769960827
41,1617400291.2,52.37875978796114,0.98,40.0,,,-86.7228857,36.1113592,,,0.0,0.0,0.0,0.0,58.96125202023914
42,1617400291.3,52.53673799989128,0.4859249204268863,40.0,,,-86.7228787,36.1113475,,,0.0,0.0,0.0,0.0,60.406231224936384
43,1617400291.4,52.65935978671731,0.903599606907202,40.0,,,-86.7228718,36.111335700000005,,,0.0,0.0,0.0,0.0,61.85737018900382
44,1617400291.5,52.8064365902032,0.78,40.0,,,-86.7228648,36.111324,,,0.0,0.0,0.0,0.0,63.3023494750242
45,1617400291.6,52.96930975104875,0.39,40.47879366831708,,,-86.7228578,36.1113123,,,0.0,0.0,0.0,0.0,64.7473288018097
46,1617400291.7,53.02,0.7749229839374348,40.97776107009534,,,-86.722851,36.1113005,,,0.0,0.0,0.0,0.0,66.19465363236927
47,1617400291.8,53.194848545369815,0.78,41.0,,,-86.722844,36.1112888,,,0.0,0.0,0.0,0.0,67.63963304158894
48,1617400291.9,53.3660094658295,0.4285307931966001,41.0,,,-86.7228372,36.1112768,,,0.0,0.0,0.0,0.0,69.10714914431084
49,1617400292.0,53.45376195936504,0.6434442519828608,41.0,,,-86.7228302,36.111265,,,0.0,0.0,0.0,0.0,70.56214806575386
50,1617400292.1,53.57411213493675,0.78,41.0,,,-86.7228233,36.111253000000005,,,0.0,0.0,0.0,0.0,72.03342615828949
51,1617400292.2,53.739481497732925,0.0,41.47746317640815,,,-86.72281650000001,36.1112412,,,0.0,0.0,0.0,0.0,73.4807511835081
52,1617400292.3,53.878479902761285,0.8494297706056878,41.97657188959944,,,-86.72280970000001,36.1112293,,,0.0,0.0,0.0,0.0,74.93816439201497
53,1617400292.4,53.98047116550988,0.98,42.0,,,-86.7228028,36.11121729999999,,,0.0,0.0,0.0,0.0,76.4094426045019
54,1617400292.5,54.120000000000005,0.5896463681684759,42.0,,,-86.7227957,36.1112053,,,0.0,0.0,0.0,0.0,77.88837967945513
55,1617400292.6,54.3296820523161,0.78,42.0,,,-86.7227887,36.1111933,,,0.0,0.0,0.0,0.0,79.36346500257609
56,1617400292.7,54.38745340529805,0.743890408501861,42.0,,,-86.7227817,36.1111813,,,0.0,0.0,0.0,0.0,80.83855036539514
57,1617400292.8,54.51,0.3342157412600486,42.47954497868128,,,-86.7227747,36.111169200000006,,,0.0,0.0,0.0,0.0,82.32370185207256
