longitudinal,altitude_lidar
0.46100342294168567,665.236999817
0.9218409454399049,665.236999817
1.3833068153589685,665.236999817
1.8438627418033333,665.236999817
2.3043460571304077,665.236999817
2.765383860897258,665.236999817
3.226300709435342,665.236999817
3.6865718544753405,665.236999817
4.1478482253326945,665.503714382
4.608507618159463,665.503714382
5.0695721924142365,665.503714382
5.530540950419565,665.503714382
5.991426430755823,665.503714382
6.451830756475997,665.503714382
6.912595708782039,665.503714382
7.373679565423881,665.503714382
7.83468396263533,665.503714382
8.29526760569507,665.940000127
8.756487353122605,665.940000127
9.216973617107875,665.940000127
9.67774524476848,665.940000127
10.138775428937745,665.940000127
10.59974389146304,665.765833766
11.06036812960732,666.024375668
11.521237153444817,666.024375668
11.982330518721335,665.992500534
12.442836286060578,665.992500534
12.903831322298355,665.992500534
13.364524977005528,666.173599548
13.825429288888593,666.173599548
14.286290094899538,666.173599548
14.747110513077466,666.173599548
15.208120956584004,666.596624794
15.668863627051845,666.596624794
16.12957386164596,666.596624794
16.59046650840286,666.596624794
17.05152990594153,666.596624794
17.51214181758442,666.596624794
17.972928977954997,666.596624794
18.433880851919408,666.596624794
18.89479589733855,666.656836174
19.355676242718502,666.656836174
19.81633926400754,666.656836174
20.277159386434434,666.656836174
20.738128030972057,666.656836174
21.1988878513128,666.656836174
21.659793092327288,666.656836174
22.120498908134383,667.002333425
22.581347044237482,666.9207697
23.042330374294313,666.9207697
23.503121534787617,666.9207697
23.963887600189636,666.9207697
24.424785023289395,666.9207697
24.88565481122167,667.186428026
25.3464982417975,667.186428026
25.80731651439986,667.186428026
26.26811075245453,667.186428026
26.728882023571387,667.186428026
27.1899148095581,667.361111128
27.65063902831836,667.361111128
28.111480970324845,667.361111128
28.572299893108,667.361111128
29.0332307114492,667.361111128
29.49400457542834,667.361111128
29.954888549139458,667.485262949
30.41574961420449,667.485262949
30.876461653196245,667.485262949
31.33740652539403,667.637500447
31.79832781418301,667.485262949
32.25910416716146,667.797058895
32.71986168126668,667.797058895
33.18072030037659,667.797058895
33.64155855020865,667.797058895
34.104239677955384,667.797058895
34.56697294517615,667.976841302
35.029529157167424,667.976841302
35.49225156299447,667.976841302
35.954912289923236,667.976841302
36.417623265928285,667.976841302
36.88016558838508,668.206341158
37.34286707195319,668.206341158
37.80561626734911,668.206341158
38.26820144810291,668.206341158
38.73083580467257,668.206341158
39.19362064935121,668.206341158
39.656144086019175,668.206341158
40.11891793046664,668.264905655
40.58153565605696,668.264905655
41.04419940515475,668.264905655
41.50681008688416,668.646222704
41.96956275011852,668.646222704
42.432165858420774,668.646222704
42.89481348102036,668.646222704
43.35750433022073,668.646222704
43.8201441292738,668.646222704
44.28282648157471,668.622916768
44.74555019198051,668.622916768
45.20813322606141,668.622916768
45.67084829331131,668.907826113
46.13351419586653,668.907826113
46.59613227088626,668.907826113
47.05879100275201,668.907826113
47.52148930619024,668.907826113
47.98405481071896,669.075454074
48.44674574103893,669.075454074
48.90947465988879,669.075454074
49.3720736700067,669.278048907
49.834794337840925,669.278048907
50.297469479400434,669.278048907
50.76010023718882,669.278048907
51.22276840518815,669.278048907
51.68547306487364,669.278048907
52.14805456698846,669.278048907
52.610752105798746,670.368863942
53.07340667854514,670.368863942
53.53601931786401,670.368863942
53.99874475007174,670.880555912
54.461427789941624,670.880555912
54.92399375959081,670.880555912
55.38674571765295,670.880555912
55.849381342786124,669.594000549
56.31197723047269,669.594000549
56.77468106123402,670.14894679
57.2374175689747,670.14894679
57.69996912852658,670.14894679
58.162698661647504,670.14894679
58.62538853681146,669.716829901
59.087968900864766,669.716829901
59.55065275526414,669.716829901
60.013368169926984,669.716829901
60.47597604301062,669.716829901
60.93868482785491,670.186429389
61.40135591614622,670.186429389
61.863990094638005,670.274722222
62.32665542783025,670.274722222
62.78935127558061,670.274722222
63.25194424927364,670.274722222
63.71463423594227,670.274722222
64.17722281183315,670.274722222
64.63990716174936,670.274722222
65.10262075936632,670.274722222
65.56523464300611,670.274722222
66.02794208455131,670.618485246
66.49061454625985,670.618485246
66.95325270748738,670.618485246
67.41591977090626,670.618485246
67.87861518116478,670.618485246
68.34121490553372,670.618485246
68.80390482600647,670.618485246
69.26656130375751,670.719443444
69.7291849595001,670.719443444
70.1918968428744,670.719443444
70.65457562903491,670.94655165
71.11722192491543,670.94655165
71.57989544244234,670.94655165
72.04253692294604,670.94655165
72.5051469465101,671.073636544
72.96784219978139,671.073636544
73.43056345305787,671.073636544
73.89313810375401,671.073636544
74.35585394390505,671.073636544
74.81848166646354,671.073636544
75.28113556284116,671.307037229
75.7438151850805,671.307037229
76.20646435439987,671.307037229
76.66913900617236,671.307037229
77.13183871081064,671.307037229
77.59445345475649,671.307037229
78.05714812851691,671.307037229
78.51981302800668,671.307037229
78.9824486506405,671.307037229
79.4451090640082,671.651162266
79.90779386325016,671.651162266
80.37044964388598,672.248571625
80.83307687789502,672.248571625
81.29578089365059,672.248571625
81.75840400117526,672.248571625
82.22110311287827,672.248571625
82.68372222639861,672.248571625
83.14641658772807,672.248571625
83.60908289525436,672.248571625
84.07172159340398,672.248571625
84.53438363136848,672.248571625
84.99706865410491,672.248571625
85.45972629532865,672.837727689
85.92240673125876,672.837727689
86.38506011281216,672.837727689
86.84768684802782,672.837727689
87.31038534524616,672.837727689
87.77305701242209,672.837727689
88.23565374213617,673.786923711
88.69836973009832,673.786923711
89.16096305119139,673.786923711
89.62367449297496,673.786923711
90.08635963533831,673.12564522
90.54897153138806,673.12564522
91.01165255044845,673.12564522
91.47435482003245,673.12564522
