,Time,Velocity,Acceleration,SpaceGap,RelativeVelocity,Long,Lat
0,1615298368.0,86.69724002651725,0.0,65.52529462435795,2.8903970968268475,-86.5762232,35.9801907
1,1615298368.1,86.68352509555562,0.0,65.77515671559101,2.9091367536693267,-86.5762067,35.9801733
2,1615298368.2,86.71982027101264,0.0,66.20631190285411,2.9227742527354823,-86.5761902,35.9801562
3,1615298368.3,86.6911040815757,0.0,66.67711953724589,2.9352957323735613,-86.57617370000001,35.9801388
4,1615298368.4,86.70555072273571,0.0,66.90412926303672,2.95294242103965,-86.57615720000003,35.9801215
5,1615298368.5,86.70469240723575,0.0,67.07905117103742,2.971684054039723,-86.5761407,35.9801042
6,1615298368.6,86.73443326571267,0.0,67.2539730790381,2.9904256870397967,-86.57612420000002,35.9800867
7,1615298368.7,86.71467061624294,0.0,67.42889540408552,3.0091673647234476,-86.57610749999998,35.9800695
8,1615298368.8,86.72,0.0,67.86090690605633,3.017055760296095,-86.576091,35.9800522
9,1615298368.9,86.72994888353269,0.0,68.34852252838772,3.022596846913497,-86.5760743,35.9800348
10,1615298369.0,86.69,0.0,68.74444861007589,3.06657653095973,-86.5760578,35.98001729999999
11,1615298369.1,86.66276521897977,0.0,69.07015582502736,3.1399941408873135,-86.5760413,35.97999979999999
12,1615298369.2,86.6114641024708,0.0,69.39586381652607,3.2134119258562865,-86.5760248,35.9799825
13,1615298369.3,86.56061344569011,-0.05933695171804221,69.72157103147754,3.28682953578387,-86.5760083,35.979965
14,1615298369.4,86.57340946255812,0.0,69.77094895492591,3.3000345535097724,-86.5759918,35.97994770000001
15,1615298369.5,86.51385827057436,0.0,69.75991931761786,3.3000766605457432,-86.5759752,35.97993029999999
16,1615298369.6,86.5155599769575,0.0,69.7488896803098,3.300118767581714,-86.5759587,35.979912799999994
17,1615298369.7,86.45355061523023,-0.08520211495821252,69.73786001670501,3.300160874718076,-86.5759423,35.9798952
18,1615298369.8,86.43765971514367,-0.095,69.72683037939696,3.300202981754047,-86.5759257,35.979878
19,1615298369.9,86.43709420039623,-0.016318850331635104,69.71580071579216,3.300245088890409,-86.575909,35.9798605
20,1615298370.0,86.46480673632952,-0.03077923860236599,69.7047710784841,3.3002871959263804,-86.57589229999998,35.9798433
21,1615298370.1,86.42497946593497,0.0,69.69374144117604,3.3003293029623513,-86.5758757,35.979826
22,1615298370.2,86.39149639955332,0.0,69.68271177757126,3.3003714100987134,-86.57585920000002,35.97980850000001
23,1615298370.3,86.39914388350265,0.0,69.6716821402632,3.3004135171346842,-86.57584250000002,35.9797912
24,1615298370.4,86.4,0.0,69.66065247665841,3.3004556242710463,-86.57582579999998,35.9797738
25,1615298370.5,86.38627282601631,0.0,69.64962283935036,3.3004977313070176,-86.5758093,35.9797565
26,1615298370.6,86.29668931750474,0.0,69.63859320204229,3.3005398383429885,-86.57579270000002,35.97973920000001
27,1615298370.7,86.29092174553489,-0.095,69.6275635384375,3.3005819454793506,-86.57577619999998,35.9797217
28,1615298370.8,86.31934791305508,0.0,69.61653390112944,3.3006240525153214,-86.5757595,35.97970429999999
29,1615298370.9,86.34,0.0,69.60550423752466,3.3006661596516835,-86.5757428,35.979687
30,1615298371.0,86.36600910769673,0.0,69.5944746002166,3.300708266687655,-86.57572629999999,35.9796697
31,1615298371.1,86.24986444212722,-0.08336974335967186,69.58344496290854,3.3007503737236257,-86.5757097,35.9796523
32,1615298371.2,86.22623115622955,-0.095,69.57241529930376,3.3007924808599878,-86.5756932,35.97963499999999
33,1615298371.3,86.3,0.0,69.56138566199569,3.3008345878959586,-86.5756767,35.9796175
34,1615298371.4,86.2875051452509,0.0,69.5503559983909,3.3008766950323207,-86.5756602,35.9796
35,1615298371.5,86.23161117552868,0.0,69.53932636108284,3.3009188020682916,-86.5756438,35.9795827
36,1615298371.6,86.16477298498243,0.0,69.52829672377479,3.300960909104263,-86.5756275,35.979565
37,1615298371.7,86.1536686516376,-0.02708317530837442,69.51726706017,3.301003016240625,-86.57561120000003,35.97954770000001
38,1615298371.8,86.25060027334196,0.0,69.50623742286194,3.301045123276596,-86.57559499999998,35.97953
39,1615298371.9,86.12150385166608,-0.2920815364557216,69.49520775925716,3.301087230412958,-86.57557879999997,35.9795125
40,1615298372.0,86.12,-0.03790546196751221,69.48417812194909,3.301129337448929,-86.5755625,35.979495
41,1615298372.1,86.13853740377657,0.195,69.47314848464103,3.3011714444849,-86.5755465,35.9794773
42,1615298372.2,86.05854927596823,-0.060279952869574896,69.46211882103624,3.301213551621262,-86.5755305,35.9794597
43,1615298372.3,86.02354039530012,-0.095,69.45108918372819,3.301255658657233,-86.5755147,35.9794418
44,1615298372.4,85.93783256268077,-0.12747918350298287,69.4400595201234,3.301297765793595,-86.57549870000003,35.97942420000001
45,1615298372.5,85.88,-0.095,69.42902988281534,3.301339872829566,-86.5754828,35.9794065
46,1615298372.6,85.90381255277231,0.0,69.41800024550727,3.3013819798655373,-86.575467,35.9793887
47,1615298372.7,85.82103872395354,-0.195,69.40697058190248,3.301424087001899,-86.5754513,35.9793708
48,1615298372.8,85.74392802531231,-0.07630213948473921,69.39594094459443,3.3014661940378702,-86.5754355,35.9793532
49,1615298372.9,85.56519362497612,-0.2672227833224684,69.38491128098964,3.3015083011742323,-86.57541979999998,35.97933529999999
50,1615298373.0,85.41133876515055,-0.44599640150988196,69.37388164368159,3.301550408210203,-86.57540420000002,35.9793175
51,1615298373.1,85.41089611019859,-0.1547278041651443,69.36285200637353,3.301592515246174,-86.5753887,35.97929970000001
52,1615298373.2,85.4580745822729,-0.068033626805867,69.35182234276874,3.301634622382536,-86.5753732,35.9792817
