index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
16879,1616539001.2,53.76309375190969,-0.7137912035024434,66.80116495977028,-0.6803883199234219,-0.0118932501196534,-86.68500279999999,36.0649158,60.13591197319764,390.0,0.0,0.0,1.0,0.0,37366.89243258533,-37292.59243258533,356.90889427866296,West,False
16880,1616539001.3,53.61598784194529,-0.6945720082432715,66.91915492991332,-0.72,0.051056337608361,-86.6849907,36.0649045,74.02112675216722,390.0,0.0,0.0,1.0,0.0,37368.55426218056,-37294.254262180555,356.88317439750193,West,True
16881,1616539001.4,53.52522559052022,-0.6804873821489141,66.81914121898498,-0.72,0.1760734762687676,-86.6849787,36.0648932,76.52146952537535,390.0,0.0,0.0,1.0,0.0,37370.210223235685,-37295.91022323568,356.7751792380763,West,True
16882,1616539001.5,53.41878643592143,-0.6702025194466207,66.72069968391807,-0.7206996839180769,0.300218651224399,-86.684967,36.0648818,79.03061117141587,390.0,0.0,0.0,1.0,0.0,37371.85729064508,-37297.557290645076,356.8598597755051,West,True
16883,1616539001.6,53.231088439187545,-0.6625612018759836,66.80092615350775,-0.8009261535077442,0.3252894229711701,-86.6849553,36.06487070000001,82.54051921596381,390.0,0.0,0.0,1.0,0.0,37373.478824567756,-37299.17882456775,356.7766295249504,West,True
16884,1616539001.7,53.10408664226475,-0.6566150968754499,66.88038366480414,-0.8784653407834032,0.3521581145233393,-86.6849438,36.0648595,86.03836648041492,390.0,0.0,0.0,1.0,0.0,37375.09729834565,-37300.79729834565,356.9182545832604,West,True
16885,1616539001.8,53.00912455944925,-0.651639463216872,66.90708360321536,-0.7716655871386034,0.502345268086339,-86.6849322,36.0648487,88.70836032153491,390.0,0.0,0.0,1.0,0.0,37376.68768029555,-37302.38768029555,356.83530944679103,West,True
16886,1616539001.9,52.89,-0.6471069897387371,66.95095538715023,-0.6684076880829473,0.6007961559585264,-86.6849208,36.0648378,88.71019220207369,390.0,0.0,0.0,1.0,0.0,37378.274810135495,-37303.97481013549,356.9751960481247,West,True
16887,1616539002.0,52.75443849305864,-0.6426577942883611,67.01091843116978,-0.5684692813836929,0.6507653593081536,-86.6849092,36.0648272,86.21173203459232,390.0,0.0,0.0,1.0,0.0,37379.84846705134,-37305.54846705134,356.83787480830586,West,True
16888,1616539002.1,52.67,-0.638039998683197,67.12232019788327,-0.4994199505291853,0.6814312654596296,-86.684898,36.0648165,83.19924567130371,390.0,0.0,0.0,1.0,0.0,37381.40700794482,-37307.10700794482,356.78049084432223,West,True
16889,1616539002.2,52.3274157412819,-0.6330601629115714,67.28216299644987,-0.4594592508875331,0.693918984097646,-86.684887,36.0648058,79.70268445265914,390.0,0.0,0.0,1.0,0.0,37382.95399797765,-37308.65399797765,356.86734733773955,West,True
16890,1616539002.3,52.4203228213016,-0.6275198187484465,67.38463276103187,-0.4564218406879065,0.7564500773646786,-86.68487579999999,36.064795200000006,77.17890796560468,390.0,0.0,0.0,1.0,0.0,37384.504067099704,-37310.2040670997,356.78046934456984,West,True
16891,1616539002.4,52.34100093042886,-0.6211733896267575,67.43264629174212,-0.488430861161405,0.8664810852423299,-86.6848648,36.0647845,75.57845694192974,390.0,0.0,0.0,1.0,0.0,37386.05105730341,-37311.75105730341,356.8094032873528,West,True
16892,1616539002.5,52.1706887458238,-0.613686643246661,67.48082455199057,-0.52,0.9758589083234968,-86.6848537,36.0647738,74.02061379976392,390.0,0.0,0.0,1.0,0.0,37387.60380779658,-37313.303807796576,356.7812744628077,West,True
16893,1616539002.6,52.04213257516604,-0.6046218352008559,67.54083528275567,-0.52,1.038370086203813,-86.6848428,36.0647632,75.52088206889151,390.0,0.0,0.0,1.0,0.0,37389.1365014001,-37314.836501400096,356.7804374031988,West,True
16894,1616539002.7,52.00975891282295,-0.5934345420627498,67.60187862029093,-0.5196242759418117,1.100939310145471,-86.6848318,36.0647525,77.0093931014547,390.0,0.0,0.0,1.0,0.0,37390.68349186166,-37316.383491861656,356.72093414954264,West,True
16895,1616539002.8,51.925867416589305,-0.5794940470012409,67.73511326835141,-0.4929773463297178,1.1675566341757055,-86.684821,36.06474179999999,77.67556634175705,390.0,0.0,0.0,1.0,0.0,37392.219055018046,-37317.91905501804,356.84047236175087,West,True
16896,1616539002.9,51.70712257531986,-0.5621219889585296,67.85928516737944,-0.4663188075278224,1.2228019874536296,-86.68481,36.0647313,78.11400993726815,390.0,0.0,0.0,1.0,0.0,37393.74900774063,-37319.44900774063,356.7514923925692,West,True
16897,1616539003.0,51.58,-0.5406420476252972,67.97485272400581,-0.4396493713832747,1.2672510476945422,-86.68479920000001,36.0647207,78.33625523847272,390.0,0.0,0.0,1.0,0.0,37395.275971631934,-37320.97597163193,356.8115246018449,West,True
16898,1616539003.1,51.46081416913947,-0.5144490157014682,68.09042028063219,-0.412979935238727,1.311700107935455,-86.6847883,36.0647102,78.55850053967727,390.0,0.0,0.0,1.0,0.0,37396.80013116529,-37322.50013116529,356.81263660926044,West,True
16899,1616539003.2,51.37298372118431,-0.48306797403085017,68.20598811279335,-0.386310435509228,1.3561492741512868,-86.6847775,36.0646998,78.78074637075643,390.0,0.0,0.0,1.0,0.0,37398.309995107156,-37324.00999510715,356.72116650664924,West,True
16900,1616539003.3,50.99157591556228,-0.4462292222630428,68.3232255676415,-0.3597312026965425,1.4006719932586438,-86.68476679999999,36.0646892,79.00671993258644,390.0,0.0,0.0,1.0,0.0,37399.83126072055,-37325.53126072055,356.81261600230226,West,True
16901,1616539003.4,51.05604791731342,-0.403908224701315,68.56284708047137,-0.3397627432940523,1.450593141764869,-86.68475600000001,36.0646788,79.5059314176487,390.0,0.0,0.0,1.0,0.0,37401.34112482759,-37327.041124827585,356.7520113615174,West,True
16902,1616539003.5,51.04488882913623,-0.35637658197843797,68.80110502007165,-0.32,1.500345318772392,-86.6847453,36.0646683,80.0,390.0,0.0,0.0,1.0,0.0,37402.85379163198,-37328.55379163197,356.72142604517984,West,True
16903,1616539003.6,50.93,-0.3041963816860701,68.90839172577853,-0.32,1.5338724143057894,-86.6847347,36.0646578,80.0,390.0,0.0,0.0,1.0,0.0,37404.36075953452,-37330.06075953451,356.8137287026657,West,True
