Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-282.600,32.187,32.527,32.075,32.531,32.267,32.442,31.110,31.114,31.637,30.099,31.360,31.114,30.484,30.573,30.662,30.756,29.415,28.879,28.164,28.253,29.147
17.400,32.276,32.634,31.293,31.293,31.293,31.472,30.935,30.309,30.484,31.114,31.740,30.032,27.877,29.768,29.952,29.675,28.494,27.520,27.243,27.609,28.423
317.400,31.641,31.561,30.573,30.573,30.484,30.484,29.652,29.666,29.223,29.943,30.756,30.399,29.049,30.305,30.305,30.130,29.058,28.164,28.253,28.164,29.147
617.400,31.726,31.020,30.743,30.747,30.484,30.488,28.968,28.700,28.164,27.873,29.406,29.590,27.797,28.597,29.223,29.120,28.874,28.164,28.691,29.049,30.032
