Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-80.600,30.922,31.378,30.569,30.738,29.657,31.641,32.093,32.366,31.740,31.382,31.914,33.528,32.634,32.634,32.634,32.634,32.634,30.841,29.178,28.070,30.662
219.400,31.025,30.752,29.947,30.305,30.479,30.309,29.849,31.288,31.458,30.117,30.484,32.232,31.905,31.284,30.846,30.747,31.262,29.764,27.895,27.806,29.590
519.400,31.020,31.110,31.382,31.110,30.837,31.203,30.667,30.846,30.931,30.309,31.646,31.186,30.823,30.551,29.929,30.122,30.658,28.141,25.598,27.886,28.968
