time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
-270.7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-210.7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-150.7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-90.7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-30.7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
29.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
89.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
149.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
209.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
269.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
329.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
389.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
449.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
