time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
-298,90,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
-238,90,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
-178,90,100,90,90,90,90,90,90,100,90,91,100,100,90,90,90,90,90,90,90,90
-118,90,100,90,90,90,90,90,90,100,90,91,100,100,90,90,90,90,90,90,90,90
-58,90,100,90,90,90,90,90,90,100,90,91,100,100,90,90,90,90,90,90,90,90
2,90,90,90,90,90,90,90,90,100,90,90,90,90,90,90,90,90,90,90,93,90
62,90,90,90,90,90,90,90,90,100,90,90,90,90,90,90,90,90,90,90,93,90
122,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,98,90
182,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,98,90
242,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,98,90
302,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,98,90
362,100,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,97,100,100,97,92
422,100,100,90,90,90,90,90,90,100,90,90,90,90,90,90,90,100,100,100,100,92
482,100,100,90,90,90,90,90,90,100,90,90,90,90,90,90,90,100,100,100,100,92
542,100,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,92
602,100,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,92
662,100,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,100,100,98,90
722,100,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,100,100,98,90
782,100,100,100,100,100,90,90,90,90,90,90,90,90,90,90,90,100,100,100,98,90
842,100,100,100,100,100,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,92
902,100,100,100,100,100,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,92
962,100,100,100,100,100,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,92
1022,100,100,100,100,100,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,92
1082,100,100,100,100,100,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,92
