time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47
-289.4,30.3898,30.7385,31.0156,29.8757,29.6388,30.278,31.3688,31.6236,31.6326,31.9052,31.3777,31.4716,31.3733,31.2839,31.3733,30.7295,30.7519,30.9039,30.7295,30.5641,30.7519,30.3898,30.9978,30.5999,31.2257,31.5476,30.8368,29.822,29.67,29.8489,30.2065,29.6745,29.7371,25.4634,25.5349,30.3048,31.0961,31.0112,31.4582,31.8024,31.1989,31.4493,30.7161,30.7295,29.4644,31.19,30.7161,30.4658
10.6,31.3599,31.4671,31.4671,31.5476,29.5851,29.898,30.5641,31.7354,31.9991,31.6504,31.3777,31.5476,31.8248,31.3554,31.3643,31.2749,31.5476,31.4627,31.1632,31.2839,32.0528,30.8368,31.1632,31.3777,30.0813,30.8234,30.4166,30.7027,30.734,31.4716,30.7385,30.3898,30.1171,29.7729,29.0308,29.1425,29.9293,29.7684,29.5762,30.7251,31.4671,31.5431,30.4345,30.2691,29.67,30.0143,30.1797,30.1126
310.6,31.3777,31.4716,31.0112,30.0724,29.7147,30.2333,31.561,32.7949,32.701,31.9187,32.4417,31.6191,31.4716,31.3599,30.0545,31.2704,30.5641,30.7474,30.6491,30.5686,30.6669,30.1216,30.8413,30.5373,30.6178,29.4197,29.9472,30.3898,30.658,30.8413,30.5686,30.0143,30.4658,30.3585,31.4671,31.3777,31.0827,31.4582,30.9083,30.9307,31.2704,30.8994,29.7684,29.9383,29.9025,31.4403,30.7206,30.6491
