Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-130.300,31.735,31.646,32.361,32.361,32.182,32.361,32.352,31.543,31.002,30.609,31.637,31.624,31.405,31.346,31.159,30.801,32.080,31.811,31.990,31.364,31.181
169.700,31.360,32.263,32.080,32.442,32.182,31.731,30.452,30.917,30.309,30.734,31.364,31.020,32.093,32.616,32.272,32.178,32.348,31.995,31.105,30.475,31.369
469.700,32.625,32.442,31.793,31.981,32.249,32.974,31.709,31.110,31.101,31.096,31.525,31.159,31.060,31.440,31.914,31.561,31.199,31.561,31.467,30.569,31.293
