Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-99.100,32.093,31.472,29.679,30.309,31.016,30.756,31.472,31.288,30.756,30.122,30.296,30.931,30.935,30.752,31.020,30.922,30.300,30.470,30.502,30.448,30.636
200.900,30.028,31.561,32.272,32.093,32.093,32.178,31.807,30.734,30.394,29.581,30.470,31.025,30.296,30.305,30.662,31.114,31.472,31.820,32.433,32.178,32.272
500.900,31.190,31.561,30.358,31.378,31.740,31.829,30.837,31.199,31.288,30.738,32.093,30.551,30.654,31.293,31.025,31.025,31.101,30.913,31.181,31.914,32.182
