Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-26.300,31.279,31.646,31.016,30.935,30.555,31.740,31.731,31.266,31.722,31.199,31.646,31.557,30.931,30.752,30.931,31.199,30.488,30.399,30.658,31.020,31.002
273.700,29.768,30.479,30.747,31.467,31.199,31.199,31.561,31.199,30.484,31.525,31.270,31.105,31.016,31.543,32.178,32.093,31.557,31.284,30.394,30.206,29.590
573.700,30.305,30.752,29.768,29.916,29.388,30.108,30.211,29.755,29.666,30.475,31.011,30.658,29.844,30.528,31.695,32.343,32.451,31.373,30.488,30.215,30.578
