index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
1924,1617799502.7,110.44775231107316,0.7893500348052334,21.0,,,-86.6850208,36.064929,,,0.0,0.0,0.4162253551365084,0.0,6294.185424939947,-6219.8854249399465,356.81008094654226,West,False
1925,1617799502.8,110.56,0.7652942649997607,21.0,,,-86.68499870000001,36.064907700000006,,,0.0,0.0,0.8666013351020174,0.0,6297.27662789843,-6222.97662789843,356.8379492458063,West,True
1926,1617799502.9,110.7026971827088,0.7405622954836499,21.0,,,-86.68497629999999,36.0648863,,,0.0,0.0,0.6164301528830187,0.0,6300.393708443929,-6226.093708443929,356.83858929757736,West,True
1927,1617799503.0,110.79833334837994,0.7154349287406943,21.0,,,-86.684954,36.064865000000005,,,0.0,0.0,0.3662595671177447,0.0,6303.496494860787,-6229.1964948607865,356.7648456057135,West,True
1928,1617799503.1,110.97335767435412,0.6901463901133518,21.13783017669196,,,-86.6849318,36.06484329999999,,,0.0,0.0,0.1160889813524708,0.0,6306.627628735581,-6232.327628735581,356.8089230556122,West,True
1929,1617799503.2,111.12051000817382,0.6648845007064897,21.63591529141288,,,-86.6849095,36.0648218,,,0.0,0.0,0.0,0.0,6309.7474246368065,-6235.447424636806,356.7945573436168,West,True
1930,1617799503.3,111.22301777834276,0.6397886544636782,22.0,,,-86.6848873,36.0648003,,,0.0,0.0,0.0,0.0,6312.861453545237,-6238.561453545237,356.79406882762686,West,True
1931,1617799503.4,111.35873405506746,0.6149499076129368,22.0,,,-86.684865,36.0647787,,,0.0,0.0,0.0,0.0,6315.989779143727,-6241.689779143727,356.80885895721883,West,True
1932,1617799503.5,111.45425491332722,0.5904111087194774,22.0,,,-86.6848427,36.0647572,,,0.0,0.0,0.0,0.0,6319.109576102396,-6244.809576102396,356.79356287938833,West,True
1933,1617799503.6,111.5940356139384,0.5661694856873165,22.0,,,-86.6848203,36.0647355,,,0.0,0.0,0.0,0.0,6322.2521987643995,-6247.952198764399,356.80776257537747,West,True
1934,1617799503.7,111.69881075791076,0.5421792591090516,22.0,,,-86.6847978,36.0647138,,,0.0,0.0,0.0,0.0,6325.4005880821605,-6251.10058808216,356.8087944759006,West,True
1935,1617799503.8,111.81164277685396,0.5183581550845855,22.0,,,-86.6847755,36.0646923,,,0.0,0.0,0.0,0.0,6328.52038610379,-6254.22038610379,356.79303923930337,West,True
1936,1617799503.9,111.93504618120453,0.4945923416120829,22.13666109528257,,,-86.684753,36.0646705,,,0.0,0.0,0.0,0.0,6331.677306208853,-6257.377306208853,356.7791276713409,West,True
1937,1617799504.0,112.0138224034161,0.47074698271772514,22.6356231523724,,,-86.6847307,36.06464879999999,,,0.0,0.0,0.0,0.0,6334.8141791394855,-6260.514179139485,356.7929960432097,West,True
1938,1617799504.1,112.1372298630063,0.4466728902352443,23.0,,,-86.6847082,36.064627,,,0.0,0.0,0.0,0.0,6337.971099960303,-6263.671099960303,356.80765497586236,West,True
1939,1617799504.2,112.20165120449808,0.42222027514880517,23.0,,,-86.6846857,36.0646053,,,0.0,0.0,0.0,0.0,6341.119491070295,-6266.819491070295,356.7929526514722,West,True
1940,1617799504.3,112.32378887584304,0.39724630853697795,23.0,,,-86.6846632,36.064583500000005,,,0.0,0.0,0.0,0.0,6344.276412607473,-6269.976412607472,356.7929309560725,West,True
1941,1617799504.4,112.46647727585038,0.37163078488245493,23.0,,,-86.6846407,36.064561700000006,,,0.0,0.0,0.0,0.0,6347.43333450426,-6273.133334504259,356.7920036478552,West,True
1942,1617799504.5,112.47561874904004,0.3452838732428475,23.13684226859743,,,-86.684618,36.064539700000005,,,0.0,0.0,0.0,0.0,6350.618849585209,-6276.318849585209,356.77820676564835,West,True
1943,1617799504.6,112.62842694143887,0.3181624497344829,23.637472487598533,,,-86.6845955,36.0645178,,,0.0,0.0,0.0,0.0,6353.784318344879,-6279.484318344878,356.79286567802427,West,True
1944,1617799504.7,112.65247224771056,0.2902775264551816,24.0,,,-86.684573,36.064496000000005,,,0.0,0.0,0.0,0.0,6356.941241323008,-6282.641241323008,356.7634827969746,West,True
1945,1617799504.8,112.76959160357256,0.26171011097486485,24.0,,,-86.6845505,36.064474,,,0.0,0.0,0.0,0.0,6360.115272883419,-6285.815272883418,356.8210209571656,West,True
1946,1617799504.9,112.82020716596256,0.232617556773772,24.0,,,-86.6845278,36.064452200000005,,,0.0,0.0,0.0,0.0,6363.283743212498,-6288.983743212498,356.77811939471957,West,True
1947,1617799505.0,112.80699339747903,0.20324713942321868,24.0,,,-86.6845053,36.0644303,,,0.0,0.0,0.0,0.0,6366.449213409228,-6292.149213409228,356.7777077455973,West,True
1948,1617799505.1,112.8470166201648,0.17393921318527522,24.0,,,-86.6844827,36.0644083,,,0.0,0.0,0.0,0.0,6369.628980839378,-6295.328980839377,356.7918512569511,West,True
1949,1617799505.2,112.94514244161964,0.14513475684180888,24.0,,,-86.68446,36.0643863,,,0.0,0.0,0.0,0.0,6372.814498467942,-6298.514498467942,356.79182936250555,West,True
1950,1617799505.3,112.95459035489633,0.11737098527681217,24.1376472398162,,,-86.6844373,36.0643643,,,0.0,0.0,0.0,0.0,6376.000016462568,-6301.700016462568,356.7927131342811,West,True
1951,1617799505.4,112.91814385536824,0.09127684298534229,24.63785534630948,,,-86.6844148,36.0643425,,,0.0,0.0,0.0,0.0,6379.156941969141,-6304.856941969141,356.7776200718504,West,True
1952,1617799505.5,113.06536171343248,0.06755551695116732,25.137777671988527,,,-86.6843922,36.0643205,,,0.0,0.0,0.0,0.0,6382.336710847581,-6308.036710847581,356.81972553852773,West,True
1953,1617799505.6,113.01,0.04696175719681707,25.6369535076079,,,-86.6843693,36.0642985,,,0.0,0.0,0.0,0.0,6385.533774417927,-6311.233774417927,356.7775759953151,West,True
1954,1617799505.7,112.98915395953128,0.03026833671669456,26.0,,,-86.6843467,36.0642765,,,0.0,0.0,0.0,0.0,6388.71354402216,-6314.41354402216,356.82082616488975,West,True
1955,1617799505.8,112.92480662143925,0.018223516283355015,26.0,,,-86.684324,36.0642547,,,0.0,0.0,0.0,0.0,6391.882017650282,-6317.582017650282,356.79169819003306,West,True
1956,1617799505.9,112.82138453613838,0.011506035170787007,26.0,,,-86.68430129999999,36.064232700000005,,,0.0,0.0,0.0,0.0,6395.067537831203,-6320.767537831202,356.7767406190562,West,True
1957,1617799506.0,112.77480007624789,0.010669546207046876,26.0,,,-86.6842785,36.0642105,,,0.0,0.0,0.0,0.0,6398.275902331341,-6323.975902331341,356.8207609787344,West,True
1958,1617799506.1,112.72719607517048,0.016100505781639147,26.0,,,-86.6842558,36.0641887,,,0.0,0.0,0.0,0.0,6401.444377061724,-6327.144377061723,356.7778559270878,West,True
1959,1617799506.2,112.61217533514534,0.027964656288904457,26.0,,,-86.6842333,36.0641668,,,0.0,0.0,0.0,0.0,6404.609851585438,-6330.309851585438,356.7774442461846,West,True
1960,1617799506.3,112.65,0.046188327057005235,26.13836081232313,,,-86.68421070000001,36.0641448,,,0.0,0.0,0.0,0.0,6407.789623362101,-6333.489623362101,356.8206961740021,West,True
1961,1617799506.4,112.62386566015611,0.070424177728196,26.63665481018944,,,-86.684188,36.064123,,,0.0,0.0,0.0,0.0,6410.958099189733,-6336.658099189733,356.8206744818116,West,True
1962,1617799506.5,112.65631954222984,0.100073650577536,27.0,,,-86.68416529999999,36.0641012,,,0.0,0.0,0.0,0.0,6414.126575382266,-6339.826575382266,356.77737836659537,West,True
1963,1617799506.6,112.86324534418922,0.13428221239776034,27.0,,,-86.68414270000001,36.0640792,,,0.0,0.0,0.0,0.0,6417.306348240202,-6343.006348240202,356.8060770485319,West,True
1964,1617799506.7,112.73201575872844,0.17200854403001625,27.0,,,-86.68412,36.0640573,,,0.0,0.0,0.0,0.0,6420.483340224175,-6346.183340224175,356.7924071812838,West,True
1965,1617799506.8,113.00260484520236,0.21204607890558397,27.0,,,-86.6840975,36.0640355,,,0.0,0.0,0.0,0.0,6423.640270786403,-6349.3402707864025,356.79147972579295,West,True
1966,1617799506.9,112.97,0.2531282431864393,27.136750760998257,,,-86.6840748,36.0640135,,,0.0,0.0,0.0,0.0,6426.825794607539,-6352.525794607539,356.83448264964983,West,True
1967,1617799507.0,113.07172707435694,0.2939600832265833,27.6368455504405,,,-86.68405200000001,36.0639917,,,0.0,0.0,0.0,0.0,6430.000068424387,-6355.700068424387,356.805479185988,West,True
1968,1617799507.1,113.24843453829943,0.333336237219712,28.0,,,-86.6840292,36.0639697,,,0.0,0.0,0.0,0.0,6433.19135781578,-6358.89135781578,356.7914138526359,West,True
1969,1617799507.2,113.3776851894736,0.3701605524316185,28.0,,,-86.6840065,36.0639477,,,0.0,0.0,0.0,0.0,6436.37688273077,-6362.07688273077,356.79139195636964,West,True
1970,1617799507.3,113.36313334180755,0.40355004636842995,28.0,,,-86.6839838,36.063925700000006,,,0.0,0.0,0.0,0.0,6439.562408010606,-6365.262408010606,356.77720254018425,West,True
1971,1617799507.4,113.55618836310776,0.43282426713208944,28.0,,,-86.68396120000001,36.0639037,,,0.0,0.0,0.0,0.0,6442.742183764062,-6368.442183764062,356.8193134447147,West,True
1972,1617799507.5,113.5916062806384,0.45757512073222945,28.13625493822223,,,-86.6839383,36.0638817,,,0.0,0.0,0.0,0.0,6445.939254355402,-6371.639254355402,356.8053699984297,West,True
1973,1617799507.6,113.72,0.47761923322272004,28.637007685061707,,,-86.6839155,36.0638597,,,0.0,0.0,0.0,0.0,6449.130545586041,-6374.830545586041,356.79130418685634,West,True
