time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
-295.4,22.799,10.729,9.83488,16.9875,21.4579,27.7165,27.7165,22.799,26.3754,26.8224,29.0576,26.8224,26.8224,28.1635,28.1635,29.0576,26.8224,27.7165,26.8224,27.7165,29.5046
-235.4,20.1168,8.04672,10.729,18.7757,20.1168,26.3754,30.3987,23.6931,27.7165,26.8224,28.1635,27.7165,26.8224,28.1635,27.2694,25.4813,26.8224,28.1635,27.7165,28.1635,29.5046
-175.4,18.7757,9.38784,15.6464,22.799,20.5638,25.4813,25.4813,25.9283,27.7165,28.6106,29.0576,26.8224,25.4813,25.4813,28.1635,27.2694,26.8224,29.0576,28.6106,28.6106,29.0576
-115.4,17.4346,9.83488,18.7757,25.9283,23.6931,27.7165,27.7165,25.4813,26.3754,29.0576,31.2928,29.9517,27.7165,27.2694,27.2694,27.7165,26.8224,27.7165,28.6106,28.1635,29.5046
-55.4,17.8816,12.0701,17.8816,25.9283,25.4813,28.1635,29.5046,25.4813,25.0342,28.1635,30.3987,31.2928,30.8458,29.9517,29.9517,29.0576,27.2694,27.2694,25.9283,27.2694,30.8458
4.6,13.8582,14.3053,16.9875,23.2461,22.352,27.7165,29.9517,28.1635,27.2694,26.8224,27.7165,29.5046,29.9517,29.9517,29.9517,29.0576,28.1635,29.9517,29.9517,28.6106,29.0576
64.6,15.6464,21.4579,18.7757,22.352,21.0109,27.7165,30.3987,29.0576,29.5046,29.0576,29.0576,29.0576,29.0576,28.1635,28.1635,28.1635,28.1635,30.8458,29.9517,29.5046,29.9517
124.6,25.9283,28.1635,25.4813,23.2461,23.6931,25.4813,29.0576,30.3987,29.0576,28.1635,30.3987,29.5046,28.1635,28.1635,27.2694,27.2694,27.7165,29.0576,27.2694,28.6106,30.3987
184.6,25.9283,29.5046,24.5872,22.352,21.905,21.0109,24.5872,29.5046,27.7165,28.6106,30.3987,30.3987,29.9517,29.5046,28.1635,24.1402,27.7165,28.1635,27.2694,27.7165,29.0576
244.6,26.3754,28.1635,25.9283,27.2694,20.1168,17.8816,21.905,26.8224,26.3754,27.7165,30.3987,31.2928,30.8458,29.9517,29.0576,26.3754,28.1635,27.7165,26.8224,26.8224,27.7165
304.6,30.3987,29.9517,28.1635,27.7165,19.6698,14.3053,19.2227,26.8224,27.2694,26.3754,29.9517,30.3987,29.0576,29.5046,29.0576,29.0576,29.0576,27.7165,24.5872,26.8224,29.5046
364.6,31.7398,31.2928,28.1635,27.7165,19.6698,13.8582,17.4346,28.1635,29.0576,29.0576,30.8458,30.3987,28.1635,29.0576,29.0576,29.5046,29.0576,29.0576,23.2461,25.4813,29.0576
424.6,31.7398,31.7398,31.2928,29.5046,22.352,13.8582,17.8816,25.4813,29.5046,29.9517,30.3987,30.3987,29.0576,28.1635,28.1635,28.1635,28.1635,29.0576,21.905,25.9283,29.0576
484.6,31.2928,31.2928,30.8458,29.5046,20.1168,14.7523,19.2227,26.3754,29.0576,28.1635,30.8458,31.2928,30.8458,30.3987,28.1635,27.7165,28.1635,27.7165,21.0109,25.4813,29.5046
544.6,30.3987,32.1869,31.7398,30.8458,22.352,18.3286,19.6698,26.8224,28.6106,29.5046,29.5046,29.5046,29.9517,31.2928,31.7398,31.7398,28.6106,18.7757,18.7757,25.4813,29.5046
