Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-78.300,31.016,31.190,30.399,31.293,31.382,31.025,31.025,30.922,30.913,30.390,30.667,30.122,29.590,30.662,30.662,30.041,29.321,29.402,29.058,27.806,28.164
221.700,31.467,31.114,29.554,30.305,30.032,30.841,31.829,31.016,30.752,31.288,31.807,30.841,30.998,31.360,31.507,30.430,29.764,29.415,28.682,27.439,28.606
521.700,31.373,31.101,30.752,30.488,29.585,30.206,31.472,30.399,31.114,31.284,31.650,31.203,31.199,31.373,31.002,31.288,31.829,31.735,31.650,29.415,28.870
